number_of_elements,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_std_atomic_mass,wtd_mean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,std_fie,wtd_std_fie,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,gmean_ElectronAffinity,entropy_ElectronAffinity,range_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,wtd_range_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,wtd_range_Valence,Predicted_Critical_Temperature
4,35.42194546,1.197273033,1.077782861,122.90607,51.32686699,1011.71,940.5864385,1.313008024,0.811136187,772.0,314.5059658,353.5965272,84.32030067,1.275273991,1.246113094,171,65.57962717,67.8914139,4434.35725,2886.130857,674.4847514,52.46402069,0.99598278,0.830562563,48.47726468,1.096671769,135.97,6.9055,3.871142857,3.479474849,1.044544671,1.088575342,1.044969536,1.744571429,112.006645,61.81518857,8.339818346,0.642942303,399.97342,57.12766857,166.7423511,138.3096836,2.25,2.242857143,2.213363839,2.206962815,1.368922361,1.096051918,1.057142857,-0.026247540247866148
5,37.93423103,1.409442185,1.335472387,184.5906,60.90309995,1020.902857,949.1651904,1.542797189,0.896265619,810.6,303.9566456,351.9029424,85.44527547,1.508797183,1.394493923,205,67.43174327,71.43602247,6430.2858,3119.873714,1301.766876,54.06426022,1.278833215,1.172173847,28.73768618,1.183534089,141.0,5.9824,3.407857143,3.200206904,0.969316226,1.275517306,1.182759254,1.431857143,87.865316,44.29947429,7.294269138,0.529257784,399.97342,39.98481143,156.1795902,118.7242098,2.2,2.242857143,2.168943542,2.206962815,1.594166699,1.173869026,1.057142857,-0.02556360737752905
5,36.25929654,1.449309193,1.026456747,122.90607,53.81924307,1010.716429,938.8772148,1.544144543,0.794064497,810.6,290.1830291,354.8838711,84.2923342,1.50832754,1.176431736,205,67.32131906,67.90349695,5821.4858,3010.088,1237.09508,54.03483605,1.314442185,0.855641473,69.83331461,1.427996553,127.05,7.7844,3.809714286,4.403790498,1.036344693,1.37497728,1.015367207,1.697142857,172.205316,61.15804571,16.06422788,0.619414575,429.97342,54.27052571,198.5546003,139.087001,2.0,2.264285714,1.888175023,2.221651736,1.557113098,1.040517278,1.135714286,-0.0335409670529496
5,36.39660203,1.449309193,1.057755123,122.90607,53.97986965,1010.612857,938.7454125,1.544144543,0.807078215,810.6,290.1830291,354.9635112,84.37016696,1.50832754,1.204114798,205,67.32131906,68.00881696,5821.4858,3021.016571,1237.09508,54.09571826,1.314442185,0.914802177,69.83331461,1.427996553,127.05,7.7844,3.796857143,4.403790498,1.035251116,1.37497728,1.073093846,1.595714286,172.205316,61.37233143,16.06422788,0.619734632,429.97342,51.41338286,198.5546003,139.6309224,2.0,2.257142857,1.888175023,2.210679409,1.557113098,1.047221368,1.128571429,-0.0335409670529496
5,36.81164604,1.449309193,1.114757589,122.90607,54.4478632,1010.302143,938.3501166,1.544144543,0.831385675,810.6,290.1830291,355.2021431,84.60409671,1.50832754,1.255337679,205,67.32131906,68.32201068,5821.4858,3053.802286,1237.09508,54.27877676,1.314442185,1.021158994,69.83331461,1.427996553,127.05,7.7844,3.758285714,4.403790498,1.031977304,1.37497728,1.186339533,1.595714286,172.205316,62.01518857,16.06422788,0.620695797,429.97342,42.84195429,198.5546003,141.2481694,2.0,2.235714286,1.888175023,2.1780865,1.557113098,1.0574405,1.114285714,-0.035180075146952164
5,37.51393024,1.449309193,1.146919257,122.90607,55.18272535,1009.784286,937.6916599,1.544144543,0.844440229,810.6,290.1830291,355.5989039,84.99542186,1.50832754,1.282953016,205,67.32131906,68.83490453,5821.4858,3108.445143,1237.09508,54.5852519,1.314442185,1.071093732,69.83331461,1.427996553,127.05,7.7844,3.694,4.403790498,1.026543942,1.37497728,1.260017145,1.595714286,172.205316,63.08661714,16.06422788,0.622301053,429.97342,30.69909714,198.5546003,143.8968152,2.0,2.2,1.888175023,2.124829328,1.557113098,1.053346188,1.114285714,-0.035180075146952164
5,33.31907275,1.419173391,1.428951541,121.3276,40.7277631,1006.965385,943.3287776,1.543037642,0.94357668,810.6,290.5942009,337.8823497,88.77392013,1.50703212,1.509580983,205,70.33804092,76.01698074,3698.6858,2877.077154,791.9470941,64.28901404,1.218288238,0.84987614,31.6524096,1.158143597,138.63,8.2524,5.271076923,4.68830002,1.340282729,1.391841633,1.181176227,2.903538462,127.005316,103.3989277,14.54364543,1.202677088,399.97342,92.29338,154.8943183,166.8227082,2.2,2.076923077,2.168943542,2.063362233,1.594166699,1.285131934,1.0,-0.024696544442296683
4,36.11956035,1.181795239,1.022290892,122.90607,53.63940497,1010.544286,938.5127767,1.305967036,0.78320666,810.6,323.8118078,355.1838844,84.37135205,1.259243972,1.173032918,205,75.2375405,68.52166498,4654.35725,2980.330857,724.9532109,53.75848629,1.033128801,0.788888532,60.12317856,1.159686593,127.05,6.9055,3.834714286,3.479474849,1.039211192,1.088575342,0.964031049,1.744571429,107.756645,60.97947429,7.06248773,0.620535408,399.97342,57.12766857,168.8542438,138.5288927,2.25,2.264285714,2.213363839,2.226221639,1.368922361,1.048834273,1.1,-0.0371729757340964
4,35.77343242,1.197273033,0.981879784,122.90607,52.53320698,1011.540714,940.2943443,1.313008024,0.786865234,772.0,314.5059658,353.8198315,84.1108347,1.275273991,1.160059751,171,65.57962717,67.1114577,4434.35725,2961.473714,674.4847514,53.42701749,0.99598278,0.769628332,48.47726468,1.096671769,135.97,6.9055,3.834714286,3.479474849,1.039211192,1.088575342,0.964031049,1.744571429,112.006645,61.34376,8.339818346,0.629441023,399.97342,57.12766857,166.7423511,138.437714,2.25,2.264285714,2.213363839,2.226221639,1.368922361,1.048834273,1.1,-0.030948170350411277
4,36.00969257,1.197273033,0.899624878,122.90607,53.30968897,1011.427857,940.0996653,1.313008024,0.763668388,772.0,314.5059658,353.9685777,83.97147988,1.275273991,1.075232736,171,65.57962717,66.58420478,4434.35725,3011.702286,674.4847514,54.07881554,0.99598278,0.718623049,48.47726468,1.096671769,135.97,6.9055,3.810428571,3.479474849,1.035670678,1.088575342,0.882547321,1.814285714,112.006645,61.02947429,8.339818346,0.620598048,399.97342,57.12766857,166.7423511,138.5221105,2.25,2.278571429,2.213363839,2.239154132,1.368922361,1.006120152,1.128571429,-0.03665140143206404
